#SampleID	Group_AnimalID
#q2:types	categorical	
PZGG104243Oct1018	3_104243
PZGG104481Oct1018	3_104481
PZGG103752Oct1018	3_103752
PZGG104481Oct918	3_104481
PZGG103752Oct918	3_103752
PZGG104243Oct918	3_104243
PZGG104243Oct818	3_104243
PZGG104481Oct818	3_104481
PZGG103752Oct818	3_103752
PZGG104481May2518	3_104481
PZGG104243May2518	3_104243
PZGG103752May2518	3_103752
PZGG104481May2318	3_104481
PZGG104243May2318	3_104243
PZGG103752May2318	3_103752
PZGG104481May2218	3_104481
PZGG104243May2218	3_104243
PZGG103752May2218	3_103752
PZGG104481Apr1218	1_104481
PZGG104243Apr1218	1_104243
PZGG103752Apr1218	1_103752
PZGG104481Apr1118	1_104481
PZGG104481Apr1018	1_104481
PZGG104243Apr1018	1_104243
PZGG103752Apr1018	1_103752
PZGG103752Apr918	1_103752
PZGG104481Mar2918	1_104481
PZGG104243Mar2918	1_104243
PZGG103752Mar2918	1_103752
PZGG104481Mar2818	1_104481
PZGG104243Mar2818	1_104243
PZGG104481Mar2718	1_104481
PZGG104243Mar2718	1_104243
PZGG103752Mar2718	1	1_103752
