#SampleID	Group_AnimalID
#q2:types	categorical	
PZGG103752Nov718	all_103752
PZGG104243Nov718	all_104243
PZGG104481Nov718	all_104481
PZGG103752Nov618	all_103752
PZGG104243Nov618  all_104243
PZGG104481Nov618	all_104481
PZGG103752Nov518	all_103752
PZGG104481Nov518	all_104481
PZGG104243Nov518	all_104243
PZGG104243Oct1018	all_104243
PZGG104481Oct1018	all_104481
PZGG103752Oct1018	all_103752
PZGG104481Oct918	all_104481
PZGG103752Oct918	all_103752
PZGG104243Oct918	all_104243
PZGG104243Oct818	all_104243
PZGG104481Oct818	all_104481
PZGG103752Oct818	all_103752
PZGG104481Sep1218	all_104481
PZGG103752Sep1218	all_103752
PZGG104243Sep1218	all_104243
PZGG103752Sep1118	all_103752
PZGG104481Sep1118	all_104481
PZGG104243Sep1118	all_104243
PZGG104243Sep1018	all_104243
PZGG104481Sep1018	all_104481
PZGG103752Sep1018	all_103752
PZGG104243Aug1718	all_104243
PZGG104481Aug1718	all_104481
PZGG103752Aug1618	all_103752
PZGG104481Aug1518	all_104481
PZGG103752Aug1518	all_103752
PZGG103752Aug1418	all_103752
PZGG104243Aug1318	all_104243
PZGG104481Aug1318	all_104481
PZGG103752Jul1918	all_103752
PZGG104481Jul1918	all_104481
PZGG104243Jul1818	all_104243
PZGG104481Jul1818	all_104481
PZGG104481Jul1718	all_104481
PZGG103752Jul1718	all_103752
PZGG104243Jul1718	all_104243
PZGG103752Jul1618	all_103752
PZGG104243Jul1618	all_104243
PZGG104481Jun718	all_104481
PZGG104243Jun718	all_104243
PZGG103752Jun718	all_103752
PZGG103752Jun418	all_103752
PZGG104243Jun418	all_104243
PZGG104481Jun418	all_104481
PZGG104481May2518	all_104481
PZGG104243May2518	all_104243
PZGG103752May2518	all_103752
PZGG104481May2318	all_104481
PZGG104243May2318	all_104243
PZGG103752May2318 all_103752
PZGG104481May2218	all_104481
PZGG104243May2218	all_104243
PZGG103752May2218	all_103752
PZGG104481Apr1218	1_104481
PZGG104243Apr1218	1_104243
PZGG103752Apr1218	1_103752
PZGG104481Apr1118	1_104481
PZGG104481Apr1018	1_104481
PZGG104243Apr1018	1_104243
PZGG103752Apr1018	1_103752
PZGG103752Apr918	1_103752
PZGG104481Mar2918	1_104481
PZGG104243Mar2918	1_104243
PZGG103752Mar2918	1_103752
PZGG104481Mar2818	1_104481
PZGG104243Mar2818	1_104243
PZGG104481Mar2718	1_104481
PZGG104243Mar2718	1_104243
PZGG103752Mar2718	1_103752
