#SampleID	Group_AnimalID
#q2:types	categorical	categorical
PZGG103752Nov718	2_103752
PZGG104243Nov718	2_104243
PZGG104481Nov718	2_104481
PZGG103752Nov618	2_103752
PZGG104243Nov618	2_104243
PZGG104481Nov618	2_104481
PZGG103752Nov518	2_103752
PZGG104481Nov518	2_104481
PZGG104243Nov518	2_104243
PZGG104481Apr1218	1_104481
PZGG104243Apr1218	1_104243
PZGG103752Apr1218	1_103752
PZGG104481Apr1118	1_104481
PZGG104481Apr1018	1_104481
PZGG104243Apr1018	1_104243
PZGG103752Apr1018	1_103752
PZGG103752Apr918	1_103752
PZGG104481Mar2918	1_104481
PZGG104243Mar2918	1_104243
PZGG103752Mar2918	1_103752
PZGG104481Mar2818	1_104481
PZGG104243Mar2818	1_104243
PZGG104481Mar2718	1_104481
PZGG104243Mar2718	1_104243
PZGG103752Mar2718	1_103752
