#SampleID	AnimalID	AnimalName	SampleDate	Sample_Type	Sex	DateofBirth	StageofLife	Troup	Browse	AnimalID_Browse	SampleDate_Browse	Group	Browse_Group   	Group_AnimalID
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical 	categorical
PZGG104243Oct1018	104243	Louis	10/10/18	feces	Male	5/12/99	Mature silverback	Lone/Bachelor	30340	104243_30340	10/10/2018_30340	not_treated	3	3_104243
PZGG104481Oct1018	104481	Kuchima	10/10/18	feces	Male	6/29/02	Mature silverback	Lone/Bachelor	30340	104481_30340	10/10/2018_30340	not_treated	3	3_104481
PZGG103752Oct1018	103752	Kira	10/10/18	feces	Female	8/8/99	Lactation	Dominant - Family	30340	103752_30340	10/10/2018_30340	not_treated	3	3_103752
PZGG104481Oct918	104481	Kuchima	10/9/18	feces	Male	6/29/02	Mature silverback	Lone/Bachelor	30340	104481_30340	10/09/2018_30340	not_treated	3	3_104481
PZGG103752Oct918	103752	Kira	10/9/18	feces	Female	8/8/99	Lactation	Dominant - Family	30340	103752_30340	10/09/2018_30340	not_treated	3	3_103752
PZGG104243Oct918	104243	Louis	10/9/18	feces	Male	5/12/99	Mature silverback	Lone/Bachelor	30340	104243_30340	10/09/2018_30340	not_treated	3	3_104243
PZGG104243Oct818	104243	Louis	10/8/18	feces	Male	5/12/99	Mature silverback	Lone/Bachelor	30340	104243_30340	10/08/2018_30340	not_treated	3	3_104243
PZGG104481Oct818	104481	Kuchima	10/8/18	feces	Male	6/29/02	Mature silverback	Lone/Bachelor	30340	104481_30340	10/08/2018_30340	not_treated	3	3_104481
PZGG103752Oct818	103752	Kira	10/8/18	feces	Female	8/8/99	Lactation	Dominant - Family	30340	103752_30340	10/08/2018_30340	not_treated	3	3_103752
PZGG104481May2518	104481	Kuchima	5/25/18	feces	Male	6/29/02	Mature silverback	Lone/Bachelor	59412	104481_59412	05/25/2018_59412	not_treated	3	3_104481
PZGG104243May2518	104243	Louis	5/25/18	feces	Male	5/12/99	Mature silverback	Lone/Bachelor	59412	104243_59412	05/25/2018_59412	not_treated	3	3_104243
