#SampleID	Group_AnimalID
#q2:types	categorical	
PZGG104481Sep1218	4_104481
PZGG103752Sep1218	4_103752
PZGG104243Sep1218	4_104243
PZGG103752Sep1118	4_103752
PZGG104481Sep1118	4_104481
PZGG104243Sep1118	4_104243
PZGG104243Sep1018	4_104243
PZGG104481Sep1018	4_104481
PZGG103752Sep1018	4_103752
PZGG104481Apr1218	1_104481
PZGG104243Apr1218 1_104243
PZGG103752Apr1218	1_103752
PZGG104481Apr1118	1_104481
PZGG104481Apr1018	1_104481
PZGG104243Apr1018	1_104243
PZGG103752Apr1018	1_103752
PZGG103752Apr918	1_103752
PZGG104481Mar2918	1_104481
PZGG104243Mar2918	1_104243
PZGG103752Mar2918	1_103752
PZGG104481Mar2818	1_104481
PZGG104243Mar2818	1_104243
PZGG104481Mar2718	1_104481
PZGG104243Mar2718	1_104243
PZGG103752Mar2718	1_103752
