#SampleID	AnimalID	AnimalName	SampleDate	Sample_Type	Sex	DateofBirth	StageofLife	Troup	Browse	AnimalID_Browse	SampleDate_Browse	Group	Browse_Group    	Group_AnimalID
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical 	categorical
PZGG104243Aug1718	104243	Louis	8/17/18	feces	Male	5/12/99	Mature silverback	Lone/Bachelor	281684	104243_281684	08/17/2018_281684	not_treated	5	5_104243
PZGG104481Aug1718	104481	Kuchima	8/17/18	feces	Male	6/29/02	Mature silverback	Lone/Bachelor	281684	104481_281684	08/17/2018_281684	not_treated	5	5_104481
PZGG103752Aug1618	103752	Kira	8/16/18	feces	Female	8/8/99	Lactation	Dominant - Family	281684	103752_281684	08/16/2018_281684	not_treated	5	5_103752
PZGG104481Aug1518	104481	Kuchima	8/15/18	feces	Male	6/29/02	Mature silverback	Lone/Bachelor	281684	104481_281684	08/15/2018_281684	not_treated	5	5_104481
PZGG103752Aug1518	103752	Kira	8/15/18	feces	Female	8/8/99	Lactation	Dominant - Family	281684	103752_281684	08/15/2018_281684	not_treated	5	5_103752
PZGG103752Aug1418	103752	Kira	8/14/18	feces	Female	8/8/99	Lactation	Dominant - Family	281684	103752_281684	08/14/2018_281684	not_treated	5	5_103752
PZGG104243Aug1318	104243	Louis	8/13/18	feces	Male	5/12/99	Mature silverback	Lone/Bachelor	281684	104243_281684	08/13/2018_281684	not_treated	5	5_104243
PZGG104481Aug1318	104481	Kuchima	8/13/18	feces	Male	6/29/02	Mature silverback	Lone/Bachelor	281684	104481_281684	08/13/2018_281684	not_treated	5	5_104481
PZGG103752Jul1918	103752	Kira	7/19/18	feces	Female	8/8/99	Lactation	Dominant - Family	276954	103752_276954	07/19/2018_276954	not_treated	5	5_103752
PZGG104481Jul1918	104481	Kuchima	7/19/18	feces	Male	6/29/02	Mature silverback	Lone/Bachelor	276954	104481_276954	07/19/2018_276954	not_treated	5	5_104481
PZGG104243Jul1818	104243	Louis	7/18/18	feces	Male	5/12/99	Mature silverback	Lone/Bachelor	276954	104243_276954	07/18/2018_276954	not_treated	5	5_104243
PZGG104481Jul1818	104481	Kuchima	7/18/18	feces	Male	6/29/02	Mature silverback	Lone/Bachelor	276954	104481_276954	07/18/2018_276954	not_treated	5	5_104481
PZGG104481Jul1718	104481	Kuchima	7/17/18	feces	Male	6/29/02	Mature silverback	Lone/Bachelor	276954	104481_276954	07/17/2018_276954	not_treated	5	5_104481
PZGG103752Jul1718	103752	Kira	7/17/18	feces	Female	8/8/99	Lactation	Dominant - Family	276954	103752_276954	07/17/2018_276954	not_treated	5	5_103752
PZGG104243Jul1718	104243	Louis	7/17/18	feces	Male	5/12/99	Mature silverback	Lone/Bachelor	276954	104243_276954	07/17/2018_276954	not_treated	5	5_104243
PZGG103752Jul1618	103752	Kira	7/16/18	feces	Female	8/8/99	Lactation	Dominant - Family	276954	103752_276954	07/16/2018_276954	not_treated	5	5_103752
PZGG104243Jul1618	104243	Louis	7/16/18	feces	Male	5/12/99	Mature silverback	Lone/Bachelor	276954	104243_276954	07/16/2018_276954	not_treated	5	5_104243
PZGG104481Jun718	104481	Kuchima	6/7/18	feces	Male	6/29/02	Mature silverback	Lone/Bachelor	236105	104481_236105	06/07/2018_236105	not_treated	5	5_104481
PZGG104243Jun718	104243	Louis	6/7/18	feces	Male	5/12/99	Mature silverback	Lone/Bachelor	236105	104243_236105	06/07/2018_236105	not_treated	5	5_104243
PZGG103752Jun718	103752	Kira	6/7/18	feces	Female	8/8/99	Lactation	Dominant - Family	236105	103752_236105	06/07/2018_236105	not_treated	5	5_103752
PZGG103752Jun418	103752	Kira	6/4/18	feces	Female	8/8/99	Lactation	Dominant - Family	236105	103752_236105	06/04/2018_236105	not_treated	5	5_103752
